,drug,disease,label
140,49.0,152.0,1.0
141,254.0,364.0,1.0
142,615.0,405.0,1.0
143,68.0,280.0,1.0
144,662.0,339.0,1.0
145,552.0,201.0,1.0
146,36.0,1.0,1.0
147,22.0,268.0,1.0
148,268.0,27.0,1.0
149,573.0,334.0,1.0
150,243.0,157.0,1.0
151,275.0,107.0,1.0
152,564.0,334.0,1.0
153,275.0,355.0,1.0
154,90.0,277.0,1.0
155,484.0,105.0,1.0
156,382.0,224.0,1.0
157,395.0,347.0,1.0
158,288.0,334.0,1.0
159,367.0,128.0,1.0
160,9.0,282.0,1.0
161,263.0,141.0,1.0
162,253.0,183.0,1.0
163,498.0,374.0,1.0
164,205.0,134.0,1.0
165,573.0,68.0,1.0
166,295.0,289.0,1.0
167,514.0,405.0,1.0
168,22.0,310.0,1.0
169,413.0,397.0,1.0
170,241.0,54.0,1.0
171,552.0,180.0,1.0
172,49.0,394.0,1.0
173,423.0,255.0,1.0
174,283.0,99.0,1.0
175,420.0,325.0,1.0
176,383.0,183.0,1.0
177,369.0,228.0,1.0
178,501.0,359.0,1.0
179,292.0,382.0,1.0
180,662.0,207.0,1.0
181,564.0,68.0,1.0
182,250.0,405.0,1.0
183,255.0,405.0,1.0
184,584.0,89.0,1.0
185,331.0,163.0,1.0
186,461.0,387.0,1.0
187,486.0,136.0,1.0
188,37.0,124.0,1.0
189,129.0,224.0,1.0
190,239.0,99.0,1.0
191,173.0,183.0,1.0
192,106.0,287.0,1.0
193,408.0,125.0,1.0
194,506.0,100.0,1.0
195,72.0,1.0,1.0
196,444.0,405.0,1.0
197,289.0,197.0,1.0
198,30.0,123.0,1.0
199,160.0,40.0,1.0
200,503.0,347.0,1.0
201,50.0,289.0,1.0
202,21.0,394.0,1.0
203,465.0,183.0,1.0
204,438.0,280.0,1.0
205,449.0,306.0,1.0
206,248.0,382.0,1.0
207,202.0,291.0,1.0
208,275.0,358.0,1.0
209,569.0,385.0,1.0
210,409.0,334.0,1.0
211,227.0,224.0,1.0
212,193.0,378.0,1.0
213,500.0,248.0,1.0
214,513.0,99.0,1.0
215,646.0,145.0,1.0
216,501.0,100.0,1.0
217,420.0,99.0,1.0
218,358.0,352.0,1.0
219,332.0,347.0,1.0
220,493.0,89.0,1.0
221,306.0,331.0,1.0
222,252.0,73.0,1.0
223,125.0,117.0,1.0
224,502.0,130.0,1.0
225,145.0,312.0,1.0
226,415.0,32.0,1.0
227,180.0,250.0,1.0
228,229.0,25.0,1.0
229,548.0,340.0,1.0
230,596.0,280.0,1.0
231,442.0,124.0,1.0
232,72.0,136.0,1.0
233,461.0,352.0,1.0
234,209.0,163.0,1.0
235,322.0,12.0,1.0
236,442.0,88.0,1.0
237,551.0,99.0,1.0
238,9.0,130.0,1.0
239,387.0,196.0,1.0
240,29.0,44.0,1.0
241,86.0,125.0,1.0
242,392.0,396.0,1.0
243,397.0,177.0,1.0
244,135.0,325.0,1.0
245,624.0,11.0,1.0
246,303.0,118.0,1.0
247,467.0,183.0,1.0
248,597.0,271.0,1.0
249,633.0,355.0,1.0
250,643.0,136.0,1.0
251,299.0,124.0,1.0
252,318.0,197.0,1.0
253,74.0,358.0,1.0
254,214.0,405.0,1.0
255,11.0,392.0,1.0
256,356.0,181.0,1.0
257,455.0,364.0,1.0
258,239.0,358.0,1.0
259,315.0,259.0,1.0
260,652.0,371.0,1.0
261,133.0,48.0,1.0
262,267.0,50.0,1.0
263,39.0,137.0,1.0
264,98.0,405.0,1.0
265,503.0,358.0,1.0
266,87.0,130.0,1.0
267,269.0,405.0,1.0
268,383.0,396.0,1.0
269,71.0,21.0,1.0
270,138.0,309.0,1.0
271,571.0,331.0,1.0
272,405.0,164.0,1.0
273,0.0,144.0,1.0
274,326.0,152.0,1.0
275,363.0,157.0,1.0
276,245.0,21.0,1.0
277,180.0,72.0,1.0
278,83.0,280.0,1.0
279,409.0,68.0,1.0
280,462.0,24.0,1.0
281,110.0,143.0,1.0
282,633.0,107.0,1.0
283,562.0,99.0,1.0
284,253.0,359.0,1.0
285,211.0,89.0,1.0
286,415.0,44.0,1.0
287,138.0,344.0,1.0
288,299.0,405.0,1.0
289,22.0,301.0,1.0
290,321.0,405.0,1.0
291,379.0,222.0,1.0
292,349.0,151.0,1.0
293,647.0,360.0,1.0
294,550.0,405.0,1.0
295,399.0,276.0,1.0
296,497.0,28.0,1.0
297,508.0,341.0,1.0
298,505.0,19.0,1.0
299,494.0,148.0,1.0
300,438.0,54.0,1.0
301,471.0,89.0,1.0
302,227.0,330.0,1.0
303,437.0,168.0,1.0
304,443.0,371.0,1.0
305,490.0,354.0,1.0
306,603.0,40.0,1.0
307,163.0,217.0,1.0
308,395.0,371.0,1.0
309,358.0,386.0,1.0
310,590.0,125.0,1.0
311,255.0,124.0,1.0
312,593.0,133.0,1.0
313,387.0,271.0,1.0
314,101.0,117.0,1.0
315,132.0,100.0,1.0
316,219.0,146.0,1.0
317,367.0,181.0,1.0
318,588.0,309.0,1.0
319,376.0,318.0,1.0
320,43.0,405.0,1.0
321,430.0,350.0,1.0
322,621.0,89.0,1.0
323,493.0,128.0,1.0
324,297.0,37.0,1.0
325,162.0,41.0,1.0
326,263.0,392.0,1.0
327,319.0,359.0,1.0
328,261.0,168.0,1.0
329,242.0,47.0,1.0
330,121.0,365.0,1.0
331,201.0,382.0,1.0
332,297.0,357.0,1.0
333,229.0,12.0,1.0
334,166.0,81.0,1.0
335,261.0,85.0,1.0
336,131.0,124.0,1.0
337,498.0,296.0,1.0
338,505.0,280.0,1.0
339,105.0,135.0,1.0
340,241.0,186.0,1.0
341,61.0,280.0,1.0
342,54.0,405.0,1.0
343,205.0,135.0,1.0
344,71.0,124.0,1.0
345,412.0,28.0,1.0
346,540.0,362.0,1.0
347,161.0,37.0,1.0
348,662.0,348.0,1.0
349,609.0,183.0,1.0
350,660.0,345.0,1.0
351,47.0,314.0,1.0
352,267.0,399.0,1.0
353,434.0,379.0,1.0
354,248.0,124.0,1.0
355,658.0,347.0,1.0
356,224.0,22.0,1.0
357,109.0,73.0,1.0
358,174.0,360.0,1.0
359,99.0,37.0,1.0
360,341.0,25.0,1.0
361,245.0,162.0,1.0
362,541.0,219.0,1.0
363,439.0,16.0,1.0
364,244.0,277.0,1.0
365,548.0,190.0,1.0
366,312.0,174.0,1.0
367,225.0,271.0,1.0
368,641.0,399.0,1.0
369,275.0,359.0,1.0
370,335.0,362.0,1.0
371,1.0,284.0,1.0
372,67.0,358.0,1.0
373,418.0,359.0,1.0
374,600.0,405.0,1.0
375,11.0,128.0,1.0
376,213.0,20.0,1.0
377,521.0,358.0,1.0
378,624.0,196.0,1.0
379,89.0,76.0,1.0
380,205.0,370.0,1.0
381,533.0,318.0,1.0
382,138.0,364.0,1.0
383,362.0,298.0,1.0
384,28.0,322.0,1.0
385,138.0,259.0,1.0
386,179.0,68.0,1.0
387,643.0,364.0,1.0
388,167.0,362.0,1.0
389,34.0,1.0,1.0
390,367.0,73.0,1.0
391,621.0,99.0,1.0
392,49.0,262.0,1.0
393,267.0,345.0,1.0
394,169.0,152.0,1.0
395,267.0,331.0,1.0
396,462.0,345.0,1.0
397,594.0,405.0,1.0
398,203.0,40.0,1.0
399,358.0,162.0,1.0
400,498.0,292.0,1.0
401,546.0,81.0,1.0
402,315.0,312.0,1.0
403,532.0,163.0,1.0
404,482.0,41.0,1.0
405,393.0,124.0,1.0
406,446.0,347.0,1.0
407,662.0,42.0,1.0
408,447.0,79.0,1.0
409,514.0,269.0,1.0
410,161.0,309.0,1.0
411,500.0,133.0,1.0
412,619.0,241.0,1.0
413,577.0,99.0,1.0
414,65.0,320.0,1.0
415,227.0,239.0,1.0
416,171.0,196.0,1.0
417,486.0,259.0,1.0
418,462.0,331.0,1.0
419,186.0,99.0,1.0
420,568.0,134.0,1.0
421,86.0,49.0,1.0
422,598.0,208.0,1.0
423,592.0,84.0,1.0
424,482.0,405.0,1.0
425,493.0,243.0,1.0
426,105.0,390.0,1.0
427,340.0,358.0,1.0
428,159.0,149.0,1.0
429,496.0,149.0,1.0
430,356.0,117.0,1.0
431,71.0,404.0,1.0
432,500.0,376.0,1.0
433,72.0,390.0,1.0
434,413.0,199.0,1.0
435,372.0,325.0,1.0
436,120.0,311.0,1.0
437,484.0,166.0,1.0
438,602.0,222.0,1.0
439,142.0,9.0,1.0
440,446.0,362.0,1.0
441,596.0,65.0,1.0
442,189.0,174.0,1.0
443,161.0,136.0,1.0
444,248.0,67.0,1.0
445,477.0,405.0,1.0
446,135.0,89.0,1.0
447,142.0,369.0,1.0
448,292.0,29.0,1.0
449,387.0,335.0,1.0
450,461.0,386.0,1.0
451,490.0,408.0,1.0
452,461.0,81.0,1.0
453,307.0,251.0,1.0
454,141.0,36.0,1.0
455,18.0,281.0,1.0
456,561.0,405.0,1.0
457,90.0,224.0,1.0
458,339.0,308.0,1.0
459,633.0,335.0,1.0
460,148.0,135.0,1.0
461,478.0,18.0,1.0
462,400.0,401.0,1.0
463,13.0,285.0,1.0
464,2.0,107.0,1.0
465,87.0,197.0,1.0
466,363.0,328.0,1.0
467,471.0,376.0,1.0
468,12.0,310.0,1.0
469,453.0,272.0,1.0
470,596.0,114.0,1.0
471,8.0,173.0,1.0
472,622.0,244.0,1.0
473,44.0,157.0,1.0
474,214.0,94.0,1.0
475,19.0,283.0,1.0
476,248.0,81.0,1.0
477,328.0,347.0,1.0
478,247.0,392.0,1.0
479,275.0,106.0,1.0
480,218.0,99.0,1.0
481,153.0,26.0,1.0
482,209.0,18.0,1.0
483,14.0,94.0,1.0
484,652.0,358.0,1.0
485,287.0,199.0,1.0
486,613.0,199.0,1.0
487,72.0,364.0,1.0
488,124.0,331.0,1.0
489,377.0,9.0,1.0
490,64.0,149.0,1.0
491,145.0,370.0,1.0
492,275.0,5.0,1.0
493,464.0,182.0,1.0
494,323.0,161.0,1.0
495,248.0,159.0,1.0
496,625.0,371.0,1.0
497,510.0,297.0,1.0
498,486.0,370.0,1.0
499,588.0,136.0,1.0
500,312.0,311.0,1.0
501,637.0,280.0,1.0
502,430.0,117.0,1.0
503,254.0,136.0,1.0
504,307.0,316.0,1.0
505,575.0,140.0,1.0
506,270.0,149.0,1.0
507,450.0,331.0,1.0
508,572.0,112.0,1.0
509,166.0,135.0,1.0
510,241.0,65.0,1.0
511,430.0,355.0,1.0
512,14.0,268.0,1.0
513,166.0,309.0,1.0
514,542.0,76.0,1.0
515,370.0,124.0,1.0
516,517.0,190.0,1.0
517,172.0,305.0,1.0
518,299.0,88.0,1.0
519,511.0,362.0,1.0
520,387.0,298.0,1.0
521,413.0,352.0,1.0
522,94.0,168.0,1.0
523,251.0,314.0,1.0
524,623.0,99.0,1.0
525,29.0,47.0,1.0
526,245.0,289.0,1.0
527,570.0,162.0,1.0
528,275.0,154.0,1.0
529,287.0,240.0,1.0
530,67.0,359.0,1.0
531,540.0,371.0,1.0
532,309.0,117.0,1.0
533,399.0,153.0,1.0
534,559.0,135.0,1.0
535,387.0,280.0,1.0
536,202.0,8.0,1.0
537,560.0,38.0,1.0
538,455.0,259.0,1.0
539,551.0,312.0,1.0
540,200.0,334.0,1.0
541,375.0,371.0,1.0
542,12.0,130.0,1.0
543,583.0,101.0,1.0
544,193.0,243.0,1.0
545,60.0,89.0,1.0
546,488.0,247.0,1.0
547,346.0,358.0,1.0
548,190.0,73.0,1.0
549,75.0,117.0,1.0
550,464.0,405.0,1.0
551,251.0,18.0,1.0
552,400.0,145.0,1.0
553,358.0,273.0,1.0
554,377.0,391.0,1.0
555,162.0,40.0,1.0
556,238.0,149.0,1.0
557,368.0,188.0,1.0
558,413.0,228.0,1.0
559,587.0,358.0,1.0
560,203.0,41.0,1.0
561,268.0,147.0,1.0
562,169.0,394.0,1.0
563,502.0,61.0,1.0
564,455.0,134.0,1.0
565,651.0,347.0,1.0
566,227.0,247.0,1.0
567,656.0,202.0,1.0
568,643.0,390.0,1.0
569,275.0,208.0,1.0
570,313.0,3.0,1.0
571,429.0,392.0,1.0
572,206.0,99.0,1.0
573,455.0,357.0,1.0
574,275.0,229.0,1.0
575,235.0,280.0,1.0
576,145.0,135.0,1.0
577,464.0,316.0,1.0
578,292.0,404.0,1.0
579,255.0,146.0,1.0
580,105.0,259.0,1.0
581,587.0,156.0,1.0
582,436.0,396.0,1.0
583,78.0,183.0,1.0
584,397.0,251.0,1.0
585,103.0,379.0,1.0
586,356.0,89.0,1.0
587,19.0,369.0,1.0
588,118.0,100.0,1.0
589,482.0,40.0,1.0
590,204.0,124.0,1.0
591,369.0,69.0,1.0
592,305.0,138.0,1.0
593,625.0,359.0,1.0
594,143.0,188.0,1.0
595,383.0,89.0,1.0
596,154.0,280.0,1.0
597,288.0,68.0,1.0
598,40.0,73.0,1.0
599,566.0,144.0,1.0
600,71.0,382.0,1.0
601,439.0,73.0,1.0
602,85.0,40.0,1.0
603,1.0,323.0,1.0
604,569.0,397.0,1.0
605,150.0,362.0,1.0
606,252.0,392.0,1.0
607,610.0,181.0,1.0
608,388.0,73.0,1.0
609,587.0,362.0,1.0
610,275.0,178.0,1.0
611,369.0,199.0,1.0
612,253.0,362.0,1.0
613,166.0,163.0,1.0
614,241.0,239.0,1.0
615,500.0,128.0,1.0
616,179.0,69.0,1.0
617,157.0,371.0,1.0
618,607.0,88.0,1.0
619,290.0,88.0,1.0
620,412.0,404.0,1.0
621,654.0,362.0,1.0
622,571.0,19.0,1.0
623,588.0,344.0,1.0
624,477.0,124.0,1.0
625,145.0,259.0,1.0
626,369.0,98.0,1.0
627,152.0,297.0,1.0
628,317.0,183.0,1.0
629,499.0,40.0,1.0
630,199.0,403.0,1.0
631,422.0,298.0,1.0
632,462.0,274.0,1.0
633,161.0,134.0,1.0
634,148.0,364.0,1.0
635,411.0,396.0,1.0
636,430.0,13.0,1.0
637,659.0,367.0,1.0
638,341.0,237.0,1.0
639,414.0,318.0,1.0
640,502.0,94.0,1.0
641,369.0,234.0,1.0
642,351.0,184.0,1.0
643,435.0,379.0,1.0
644,23.0,328.0,1.0
645,19.0,9.0,1.0
646,384.0,280.0,1.0
647,411.0,99.0,1.0
648,251.0,298.0,1.0
649,559.0,370.0,1.0
650,227.0,272.0,1.0
651,391.0,332.0,1.0
652,90.0,113.0,1.0
653,576.0,198.0,1.0
654,109.0,117.0,1.0
655,141.0,146.0,1.0
656,268.0,359.0,1.0
657,331.0,37.0,1.0
658,423.0,238.0,1.0
659,606.0,367.0,1.0
660,88.0,69.0,1.0
661,230.0,243.0,1.0
662,455.0,390.0,1.0
663,556.0,239.0,1.0
664,146.0,100.0,1.0
665,356.0,243.0,1.0
666,603.0,43.0,1.0
667,389.0,298.0,1.0
668,252.0,128.0,1.0
669,176.0,224.0,1.0
670,262.0,18.0,1.0
671,35.0,267.0,1.0
672,603.0,318.0,1.0
673,315.0,136.0,1.0
674,192.0,322.0,1.0
675,550.0,124.0,1.0
676,103.0,117.0,1.0
677,102.0,89.0,1.0
678,437.0,351.0,1.0
679,138.0,135.0,1.0
680,297.0,369.0,1.0
681,621.0,128.0,1.0
682,305.0,219.0,1.0
683,47.0,163.0,1.0
684,101.0,99.0,1.0
685,352.0,378.0,1.0
686,275.0,78.0,1.0
687,117.0,347.0,1.0
688,7.0,230.0,1.0
689,305.0,124.0,1.0
690,247.0,128.0,1.0
691,581.0,278.0,1.0
692,345.0,89.0,1.0
693,551.0,135.0,1.0
694,454.0,124.0,1.0
695,356.0,73.0,1.0
696,369.0,316.0,1.0
697,462.0,65.0,1.0
698,332.0,358.0,1.0
699,516.0,80.0,1.0
700,571.0,272.0,1.0
701,95.0,20.0,1.0
702,296.0,41.0,1.0
703,222.0,8.0,1.0
704,184.0,76.0,1.0
705,290.0,124.0,1.0
706,533.0,43.0,1.0
707,205.0,344.0,1.0
708,351.0,293.0,1.0
709,607.0,405.0,1.0
710,609.0,322.0,1.0
711,109.0,56.0,1.0
712,500.0,73.0,1.0
713,178.0,163.0,1.0
714,86.0,133.0,1.0
715,390.0,358.0,1.0
716,61.0,105.0,1.0
717,375.0,359.0,1.0
718,574.0,99.0,1.0
719,569.0,293.0,1.0
720,152.0,267.0,1.0
721,329.0,183.0,1.0
722,94.0,48.0,1.0
723,127.0,99.0,1.0
724,72.0,259.0,1.0
725,163.0,254.0,1.0
726,113.0,149.0,1.0
727,75.0,303.0,1.0
728,455.0,391.0,1.0
729,42.0,404.0,1.0
730,131.0,18.0,1.0
731,184.0,133.0,1.0
732,564.0,124.0,1.0
733,223.0,183.0,1.0
734,334.0,99.0,1.0
735,260.0,405.0,1.0
736,50.0,377.0,1.0
737,241.0,218.0,1.0
738,645.0,365.0,1.0
739,559.0,344.0,1.0
740,387.0,402.0,1.0
741,478.0,167.0,1.0
742,413.0,293.0,1.0
743,119.0,404.0,1.0
744,561.0,124.0,1.0
745,172.0,340.0,1.0
746,254.0,312.0,1.0
747,41.0,124.0,1.0
748,145.0,37.0,1.0
749,248.0,76.0,1.0
750,253.0,371.0,1.0
751,69.0,190.0,1.0
752,627.0,123.0,1.0
753,86.0,378.0,1.0
754,14.0,301.0,1.0
755,551.0,174.0,1.0
756,649.0,148.0,1.0
757,170.0,366.0,1.0
758,448.0,328.0,1.0
759,614.0,149.0,1.0
760,387.0,97.0,1.0
761,321.0,401.0,1.0
762,109.0,346.0,1.0
763,402.0,94.0,1.0
764,174.0,24.0,1.0
765,529.0,40.0,1.0
766,354.0,73.0,1.0
767,660.0,399.0,1.0
768,569.0,386.0,1.0
769,50.0,117.0,1.0
770,171.0,405.0,1.0
771,462.0,280.0,1.0
772,343.0,358.0,1.0
773,260.0,118.0,1.0
774,574.0,8.0,1.0
775,292.0,405.0,1.0
776,21.0,209.0,1.0
777,238.0,199.0,1.0
778,368.0,322.0,1.0
779,576.0,336.0,1.0
780,217.0,124.0,1.0
781,463.0,379.0,1.0
782,470.0,399.0,1.0
783,263.0,181.0,1.0
784,1.0,299.0,1.0
785,440.0,124.0,1.0
786,617.0,135.0,1.0
787,84.0,371.0,1.0
788,503.0,362.0,1.0
789,473.0,106.0,1.0
790,53.0,318.0,1.0
791,451.0,322.0,1.0
792,149.0,36.0,1.0
793,353.0,24.0,1.0
794,293.0,358.0,1.0
795,226.0,99.0,1.0
796,305.0,112.0,1.0
797,225.0,89.0,1.0
798,176.0,239.0,1.0
799,303.0,243.0,1.0
800,247.0,376.0,1.0
801,587.0,196.0,1.0
802,254.0,370.0,1.0
803,228.0,94.0,1.0
804,351.0,313.0,1.0
805,360.0,124.0,1.0
806,115.0,359.0,1.0
807,382.0,114.0,1.0
808,36.0,128.0,1.0
809,542.0,133.0,1.0
810,506.0,89.0,1.0
811,307.0,177.0,1.0
812,504.0,16.0,1.0
813,579.0,183.0,1.0
814,330.0,15.0,1.0
815,97.0,382.0,1.0
816,349.0,280.0,1.0
817,142.0,391.0,1.0
818,169.0,89.0,1.0
819,452.0,11.0,1.0
820,438.0,20.0,1.0
821,358.0,52.0,1.0
822,480.0,405.0,1.0
823,631.0,267.0,1.0
824,164.0,196.0,1.0
825,90.0,272.0,1.0
826,546.0,405.0,1.0
827,661.0,371.0,1.0
828,226.0,323.0,1.0
829,426.0,38.0,1.0
830,9.0,93.0,1.0
831,241.0,224.0,1.0
832,526.0,28.0,1.0
833,26.0,405.0,1.0
834,387.0,107.0,1.0
835,238.0,365.0,1.0
836,275.0,402.0,1.0
837,150.0,183.0,1.0
838,595.0,347.0,1.0
839,518.0,65.0,1.0
840,87.0,144.0,1.0
841,208.0,392.0,1.0
842,53.0,41.0,1.0
843,307.0,124.0,1.0
844,294.0,334.0,1.0
845,268.0,102.0,1.0
846,662.0,333.0,1.0
847,507.0,83.0,1.0
848,152.0,396.0,1.0
849,83.0,247.0,1.0
850,471.0,181.0,1.0
851,203.0,318.0,1.0
852,145.0,136.0,1.0
853,430.0,73.0,1.0
854,613.0,228.0,1.0
855,161.0,370.0,1.0
856,88.0,124.0,1.0
857,348.0,166.0,1.0
858,84.0,359.0,1.0
859,140.0,209.0,1.0
860,78.0,322.0,1.0
861,402.0,316.0,1.0
862,579.0,322.0,1.0
863,119.0,146.0,1.0
864,493.0,99.0,1.0
865,72.0,309.0,1.0
866,631.0,332.0,1.0
867,397.0,188.0,1.0
868,318.0,168.0,1.0
869,240.0,124.0,1.0
870,114.0,21.0,1.0
871,422.0,18.0,1.0
872,107.0,405.0,1.0
873,461.0,127.0,1.0
874,210.0,152.0,1.0
875,447.0,83.0,1.0
876,375.0,358.0,1.0
877,88.0,334.0,1.0
878,152.0,332.0,1.0
879,186.0,73.0,1.0
880,9.0,283.0,1.0
881,571.0,239.0,1.0
882,608.0,73.0,1.0
883,101.0,89.0,1.0
884,489.0,252.0,1.0
885,365.0,134.0,1.0
886,552.0,398.0,1.0
887,34.0,134.0,1.0
888,93.0,58.0,1.0
889,420.0,122.0,1.0
890,248.0,7.0,1.0
891,280.0,79.0,1.0
892,519.0,49.0,1.0
893,462.0,247.0,1.0
894,449.0,168.0,1.0
895,546.0,174.0,1.0
896,260.0,124.0,1.0
897,546.0,124.0,1.0
898,5.0,376.0,1.0
899,650.0,358.0,1.0
900,314.0,181.0,1.0
901,138.0,134.0,1.0
902,593.0,125.0,1.0
903,192.0,188.0,1.0
904,430.0,107.0,1.0
905,570.0,163.0,1.0
906,199.0,73.0,1.0
907,163.0,215.0,1.0
908,230.0,244.0,1.0
909,191.0,16.0,1.0
910,319.0,358.0,1.0
911,413.0,162.0,1.0
912,274.0,239.0,1.0
913,205.0,309.0,1.0
914,383.0,371.0,1.0
915,387.0,316.0,1.0
916,402.0,177.0,1.0
917,429.0,128.0,1.0
918,271.0,197.0,1.0
919,650.0,347.0,1.0
920,71.0,118.0,1.0
921,241.0,277.0,1.0
922,288.0,124.0,1.0
923,166.0,344.0,1.0
924,268.0,107.0,1.0
925,244.0,280.0,1.0
926,321.0,124.0,1.0
927,450.0,351.0,1.0
928,591.0,156.0,1.0
929,70.0,247.0,1.0
930,316.0,243.0,1.0
931,455.0,354.0,1.0
932,529.0,43.0,1.0
933,360.0,405.0,1.0
934,122.0,8.0,1.0
935,72.0,37.0,1.0
936,292.0,28.0,1.0
937,404.0,89.0,1.0
938,314.0,4.0,1.0
939,54.0,124.0,1.0
940,242.0,8.0,1.0
941,438.0,257.0,1.0
942,339.0,328.0,1.0
943,104.0,243.0,1.0
944,170.0,149.0,1.0
945,455.0,9.0,1.0
946,241.0,20.0,1.0
947,28.0,183.0,1.0
948,324.0,40.0,1.0
949,464.0,3.0,1.0
950,640.0,21.0,1.0
951,248.0,325.0,1.0
952,237.0,181.0,1.0
953,519.0,125.0,1.0
954,587.0,38.0,1.0
955,19.0,408.0,1.0
956,511.0,347.0,1.0
957,474.0,271.0,1.0
958,19.0,214.0,1.0
959,77.0,331.0,1.0
960,294.0,100.0,1.0
961,194.0,7.0,1.0
962,37.0,68.0,1.0
963,400.0,124.0,1.0
964,625.0,362.0,1.0
965,340.0,347.0,1.0
966,535.0,382.0,1.0
967,295.0,117.0,1.0
968,87.0,3.0,1.0
969,24.0,133.0,1.0
970,581.0,219.0,1.0
971,502.0,301.0,1.0
972,468.0,155.0,1.0
973,193.0,149.0,1.0
974,185.0,108.0,1.0
975,75.0,289.0,1.0
976,14.0,258.0,1.0
977,139.0,28.0,1.0
978,576.0,325.0,1.0
979,628.0,396.0,1.0
980,327.0,314.0,1.0
981,275.0,38.0,1.0
982,83.0,129.0,1.0
983,462.0,158.0,1.0
984,281.0,280.0,1.0
985,96.0,280.0,1.0
986,566.0,329.0,1.0
987,70.0,70.0,1.0
988,241.0,222.0,1.0
989,468.0,265.0,1.0
990,449.0,351.0,1.0
991,241.0,350.0,1.0
992,540.0,359.0,1.0
993,467.0,322.0,1.0
994,398.0,94.0,1.0
995,199.0,392.0,1.0
996,351.0,199.0,1.0
997,183.0,119.0,1.0
